selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
AB002380_at,"leukemia_base_0001_21, leukemia_base_0002_12, leukemia_base_0002_17, leukemia_base_0002_24, leukemia_base_0002_28, leukemia_base_0003_2, leukemia_base_0008_7, leukemia_base_0012_24","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.953, 1.0]","[704.0, 693.0, 689.0, 683.0, 688.0, 657.0, 70.0, 72.0]",8
AB002382_at,"leukemia_base_0001_12, leukemia_base_0001_18, leukemia_base_0001_27, leukemia_base_0001_28, leukemia_base_0002_5, leukemia_base_0002_24, leukemia_base_0012_12, leukemia_base_0012_21","[0.971, 1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0]","[694.0, 690.0, 734.0, 669.0, 637.0, 683.0, 80.0, 61.0]",8
AB002409_at,"leukemia_base_0001_2, leukemia_base_0001_6, leukemia_base_0001_27, leukemia_base_0002_5, leukemia_base_0003_1, leukemia_base_0012_27","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[674.0, 677.0, 734.0, 637.0, 660.0, 57.0]",6
AB002533_at,"leukemia_base_0001_1, leukemia_base_0001_11, leukemia_base_0001_21, leukemia_base_0001_27, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0, 1.0]","[700.0, 661.0, 704.0, 734.0, 711.0]",5
AB002559_at,"leukemia_base_0001_1, leukemia_base_0001_5, leukemia_base_0001_17, leukemia_base_0001_20, leukemia_base_0001_22, leukemia_base_0003_1, leukemia_base_0013_1, leukemia_base_0013_9, leukemia_base_0013_26","[1.0, 1.0, 1.0, 0.971, 0.971, 1.0, 1.0, 0.971, 1.0]","[700.0, 688.0, 722.0, 632.0, 690.0, 660.0, 17.0, 37.0, 38.0]",9
AB003102_at,"leukemia_base_0001_0, leukemia_base_0001_3, leukemia_base_0001_5, leukemia_base_0001_13, leukemia_base_0001_28, leukemia_base_0002_11, leukemia_base_0008_27","[1.0, 1.0, 1.0, 1.0, 0.971, 1.0, 0.828]","[680.0, 733.0, 688.0, 682.0, 669.0, 707.0, 82.0]",7
AB003103_at,"leukemia_base_0001_4, leukemia_base_0001_7, leukemia_base_0001_20, leukemia_base_0001_21, leukemia_base_0001_24, leukemia_base_0002_3, leukemia_base_0002_4, leukemia_base_0002_21, leukemia_base_0002_22, leukemia_base_0002_23, leukemia_base_0002_26","[0.971, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0, 1.0]","[654.0, 692.0, 632.0, 704.0, 663.0, 660.0, 669.0, 679.0, 676.0, 726.0, 711.0]",11
AB003177_at,"leukemia_base_0001_5, leukemia_base_0001_21, leukemia_base_0002_3, leukemia_base_0002_9, leukemia_base_0002_23","[1.0, 1.0, 1.0, 0.999, 1.0]","[688.0, 704.0, 660.0, 636.0, 726.0]",5
AB003698_at,"leukemia_base_0001_0, leukemia_base_0001_10, leukemia_base_0001_16, leukemia_base_0002_13, leukemia_base_0002_20, leukemia_base_0002_28","[1.0, 0.971, 0.971, 1.0, 1.0, 1.0]","[680.0, 679.0, 659.0, 696.0, 647.0, 688.0]",6
AB004884_at,"leukemia_base_0001_1, leukemia_base_0001_10, leukemia_base_0002_13, leukemia_base_0002_14, leukemia_base_0002_21, leukemia_base_0002_29","[1.0, 0.971, 1.0, 1.0, 0.969, 1.0]","[700.0, 679.0, 696.0, 700.0, 679.0, 707.0]",6
AB005535_s_at,"leukemia_base_0001_7, leukemia_base_0001_17, leukemia_base_0001_21, leukemia_base_0002_3, leukemia_base_0002_4, leukemia_base_0002_14, leukemia_base_0002_27","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[692.0, 722.0, 704.0, 660.0, 669.0, 700.0, 713.0]",7
AB006190_at,"leukemia_base_0001_23, leukemia_base_0001_24, leukemia_base_0002_2, leukemia_base_0002_4, leukemia_base_0002_18, leukemia_base_0009_11, leukemia_base_0009_12, leukemia_base_0012_7","[1.0, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0]","[646.0, 663.0, 683.0, 669.0, 730.0, 60.0, 61.0, 82.0]",8
