selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_15,"mandelon_base_0017_5, mandelon_base_0017_13, mandelon_base_0023_4, mandelon_base_0023_13","[0.76, 0.78, 0.665, 0.76]","[36.0, 31.0, 45.0, 39.0]",4
att_150,"mandelon_base_0017_8, mandelon_base_0017_9, mandelon_base_0017_18, mandelon_base_0023_8, mandelon_base_0023_24","[0.78, 0.71, 0.682, 0.763, 0.765]","[24.0, 38.0, 35.0, 36.0, 41.0]",5
att_151,"mandelon_base_0023_4, mandelon_base_0023_29","[0.665, 0.785]","[45.0, 28.0]",2
att_152,"mandelon_base_0017_0, mandelon_base_0017_12, mandelon_base_0017_13, mandelon_base_0017_17, mandelon_base_0023_3, mandelon_base_0023_29","[0.685, 0.715, 0.78, 0.728, 0.768, 0.785]","[31.0, 45.0, 31.0, 38.0, 35.0, 28.0]",6
att_153,"mandelon_base_0023_2, mandelon_base_0023_5, mandelon_base_0023_17, mandelon_base_0023_28","[0.723, 0.785, 0.785, 0.748]","[41.0, 29.0, 36.0, 36.0]",4
att_154,"mandelon_base_0017_1, mandelon_base_0017_2, mandelon_base_0017_5, mandelon_base_0017_8, mandelon_base_0017_10, mandelon_base_0017_15, mandelon_base_0017_18, mandelon_base_0023_8, mandelon_base_0023_9, mandelon_base_0023_13, mandelon_base_0023_14, mandelon_base_0023_15, mandelon_base_0023_18, mandelon_base_0023_20, mandelon_base_0023_24, mandelon_base_0023_25, mandelon_base_0023_26, mandelon_base_0023_28, mandelon_base_0023_29","[0.71, 0.73, 0.76, 0.78, 0.785, 0.76, 0.682, 0.763, 0.775, 0.76, 0.788, 0.755, 0.81, 0.785, 0.765, 0.76, 0.723, 0.748, 0.785]","[36.0, 44.0, 36.0, 24.0, 29.0, 39.0, 35.0, 36.0, 36.0, 39.0, 36.0, 36.0, 33.0, 30.0, 41.0, 36.0, 44.0, 36.0, 28.0]",19
att_155,mandelon_base_0023_29,[0.785],[28.0],1
att_156,"mandelon_base_0023_20, mandelon_base_0023_23","[0.785, 0.772]","[30.0, 31.0]",2
att_157,"mandelon_base_0017_7, mandelon_base_0023_8, mandelon_base_0023_10, mandelon_base_0023_19","[0.697, 0.763, 0.73, 0.745]","[41.0, 36.0, 33.0, 41.0]",4
att_158,"mandelon_base_0017_17, mandelon_base_0023_8, mandelon_base_0023_17, mandelon_base_0023_28","[0.728, 0.763, 0.785, 0.748]","[38.0, 36.0, 36.0, 36.0]",4
att_159,"mandelon_base_0017_9, mandelon_base_0023_8","[0.71, 0.763]","[38.0, 36.0]",2
att_16,"mandelon_base_0017_6, mandelon_base_0023_16","[0.778, 0.697]","[32.0, 45.0]",2
att_160,"mandelon_base_0017_0, mandelon_base_0017_14, mandelon_base_0023_11","[0.685, 0.763, 0.758]","[31.0, 36.0, 44.0]",3
att_161,"mandelon_base_0017_7, mandelon_base_0023_13","[0.697, 0.76]","[41.0, 39.0]",2
att_162,mandelon_base_0023_24,[0.765],[41.0],1
att_163,"mandelon_base_0017_0, mandelon_base_0017_9, mandelon_base_0023_26","[0.685, 0.71, 0.723]","[31.0, 38.0, 44.0]",3
att_164,"mandelon_base_0017_13, mandelon_base_0023_22","[0.78, 0.707]","[31.0, 41.0]",2
att_165,"mandelon_base_0017_11, mandelon_base_0023_0","[0.695, 0.697]","[41.0, 36.0]",2
att_167,mandelon_base_0023_12,[0.812],[31.0],1
att_168,"mandelon_base_0017_2, mandelon_base_0017_4, mandelon_base_0017_16, mandelon_base_0023_7, mandelon_base_0023_8, mandelon_base_0023_20","[0.73, 0.762, 0.747, 0.79, 0.763, 0.785]","[44.0, 29.0, 35.0, 33.0, 36.0, 30.0]",6
att_169,"mandelon_base_0017_2, mandelon_base_0017_7, mandelon_base_0017_14, mandelon_base_0023_2","[0.73, 0.697, 0.763, 0.723]","[44.0, 41.0, 36.0, 41.0]",4
att_17,"mandelon_base_0017_4, mandelon_base_0017_6, mandelon_base_0017_8, mandelon_base_0017_11, mandelon_base_0023_1, mandelon_base_0023_3, mandelon_base_0023_12, mandelon_base_0023_13, mandelon_base_0023_23, mandelon_base_0023_24, mandelon_base_0023_25","[0.762, 0.778, 0.78, 0.695, 0.768, 0.768, 0.812, 0.76, 0.772, 0.765, 0.76]","[29.0, 32.0, 24.0, 41.0, 41.0, 35.0, 31.0, 39.0, 31.0, 41.0, 36.0]",11
att_170,"mandelon_base_0017_6, mandelon_base_0023_15","[0.778, 0.755]","[32.0, 36.0]",2
att_171,"mandelon_base_0023_14, mandelon_base_0023_20, mandelon_base_0023_26, mandelon_base_0023_28","[0.788, 0.785, 0.723, 0.748]","[36.0, 30.0, 44.0, 36.0]",4
att_172,"mandelon_base_0017_12, mandelon_base_0023_6, mandelon_base_0023_7, mandelon_base_0023_21","[0.715, 0.803, 0.79, 0.818]","[45.0, 24.0, 33.0, 31.0]",4
att_173,"mandelon_base_0017_5, mandelon_base_0023_2, mandelon_base_0023_19","[0.76, 0.723, 0.745]","[36.0, 41.0, 41.0]",3
att_174,mandelon_base_0023_10,[0.73],[33.0],1
att_176,"mandelon_base_0023_15, mandelon_base_0023_16","[0.755, 0.697]","[36.0, 45.0]",2
att_177,"mandelon_base_0017_16, mandelon_base_0023_1","[0.747, 0.768]","[35.0, 41.0]",2
att_178,"mandelon_base_0023_5, mandelon_base_0023_9","[0.785, 0.775]","[29.0, 36.0]",2
att_179,"mandelon_base_0017_1, mandelon_base_0017_18","[0.71, 0.682]","[36.0, 35.0]",2
