selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
U29656_at,"leukemia_base_0002_10, leukemia_base_0002_17, leukemia_base_0009_3, leukemia_base_0011_5","[1.0, 1.0, 1.0, 1.0]","[657.0, 689.0, 67.0, 34.0]",4
U29680_at,"leukemia_base_0002_3, leukemia_base_0002_4, leukemia_base_0002_8, leukemia_base_0002_12, leukemia_base_0002_27, leukemia_base_0011_21, leukemia_base_0011_22","[1.0, 1.0, 1.0, 1.0, 1.0, 0.993, 0.969]","[660.0, 669.0, 694.0, 693.0, 713.0, 23.0, 38.0]",7
U29700_at,"leukemia_base_0002_8, leukemia_base_0002_29","[1.0, 1.0]","[694.0, 707.0]",2
U29725_at,"leukemia_base_0002_19, leukemia_base_0009_23","[1.0, 0.969]","[683.0, 57.0]",2
U29943_s_at,"leukemia_base_0002_10, leukemia_base_0002_19","[1.0, 1.0]","[657.0, 683.0]",2
U29953_rna1_at,"leukemia_base_0002_15, leukemia_base_0002_25","[1.0, 1.0]","[654.0, 716.0]",2
U30185_at,leukemia_base_0002_5,[1.0],[637.0],1
U30245_at,"leukemia_base_0002_6, leukemia_base_0002_8, leukemia_base_0002_19, leukemia_base_0002_27, leukemia_base_0002_29","[1.0, 1.0, 1.0, 1.0, 1.0]","[671.0, 694.0, 683.0, 713.0, 707.0]",5
U30246_at,"leukemia_base_0002_4, leukemia_base_0002_10, leukemia_base_0009_15","[1.0, 1.0, 0.984]","[669.0, 657.0, 82.0]",3
U30255_at,"leukemia_base_0002_12, leukemia_base_0002_14, leukemia_base_0002_17, leukemia_base_0002_23, leukemia_base_0002_27, leukemia_base_0009_22","[1.0, 1.0, 1.0, 1.0, 1.0, 0.984]","[693.0, 700.0, 689.0, 726.0, 713.0, 64.0]",6
U30313_at,"leukemia_base_0002_7, leukemia_base_0002_24","[1.0, 1.0]","[682.0, 683.0]",2
U30521_at,leukemia_base_0009_1,[1.0],[62.0],1
U30610_at,"leukemia_base_0002_4, leukemia_base_0002_11, leukemia_base_0002_12, leukemia_base_0002_26, leukemia_base_0009_29","[1.0, 1.0, 1.0, 1.0, 1.0]","[669.0, 707.0, 693.0, 711.0, 76.0]",5
U30825_at,"leukemia_base_0002_2, leukemia_base_0002_5, leukemia_base_0002_6, leukemia_base_0002_13, leukemia_base_0002_25","[1.0, 1.0, 1.0, 1.0, 1.0]","[683.0, 637.0, 671.0, 696.0, 716.0]",5
